Accession.Number,species.label,corolla.width,spur.length,blade.length,blade.width,blade.cleft,sepal.length,sepal.width,anther.exsertion
66021,formosa,1.3,1.7,0.3,0.4,1,2.1,0.7,1.2
116355,formosa,1.5,2.15,0.38,0.35,0,1.9,0.7,0.9
116283,formosa,1.2,1.2,0.6,0.5,0,1.8,0.62,0.65
146087,formosa,1.1,1.7,0.4,0.3,0,2.2,0.8,0.8
34067,formosa,1.15,2.1,0.3,0.23,1,2.7,0.8,1.1
34051,formosa,1.77,2.1,0.45,0.6,0,2.1,0.8,1
34054,formosa,1.66,2,0.2,0.4,1,2.1,0.9,1.08
34056,formosa,1.44,1.6,0.21,0.35,1,2.5,0.84,1.1
34057,formosa,1.4,0.7,0.22,0.35,1,2.5,0.9,1.25
148153,formosa,1.9,2,0.26,0.55,0,2.9,0.8,1.3
155568,formosa,1.4,1.75,0.2,0.4,0,1.9,0.7,1.1
172338,formosa,1.64,1.8,0.27,0.35,1,2,0.73,1.4
47593,formosa,1.88,2.2,0.3,0.45,1,2.3,0.8,1.4
47781,formosa,1.42,1.85,0.2,0.3,1,2.2,0.88,1.2
207540,formosa,1.6,2.1,0.15,0.35,1,2,0.66,1.2
130126,formosa,1.6,2.2,0.35,0.4,0,2.2,0.5,1.3
130255,formosa,1.45,1.3,0.4,0.55,0,1.5,0.58,0.76
130134,formosa,1.4,1.8,0.45,0.47,0,2.4,0.65,1.4
86682,formosa,1.7,1.5,0.3,0.4,0,2.7,0.8,1.3
65115,formosa,1.36,1.54,0.2,0.35,0,1.4,0.5,1
71261,formosa,1.57,1.33,0.3,0.45,0,1.7,0.5,1.5
766169,formosa,1.3,1.9,0.3,0.2,0,1.9,0.5,0.9
78425,formosa,0.97,1.4,0.24,0.35,0,2.4,0.82,1.2
103865,formosa,1.5,1.8,0.3,0.3,0,2.5,1,1.43
184699,formosa,1.75,2.6,0.5,0.3,0,1.9,0.61,0.7
90406,formosa,1.5,1.6,0.33,0.3,0,2.3,0.7,1.3
95103,formosa,1.48,1.43,0.33,0.4,0,1.9,0.77,1.2
79215,formosa,1.65,1.75,0.2,0.34,1,2.7,0.8,0.83
36603,formosa,1.3,1.51,0.3,0.31,0,2.3,0.61,0.8
170815,flavescens,1.42,1.57,0.48,0.53,0,1.56,0.49,0.64
170684,formosa,1.82,1.85,0.73,0.74,0,2.95,1.16,0.69
170713,formosa,2.04,2.11,0.4,0.68,0,2.48,0.93,1
170499,formosa,1.13,2.04,0.57,0.43,0,1.7,0.54,0.48
169360,flavescens,1.4,1.24,0.37,0.45,0,1.45,0.6,0.68
165592,flavescens,1.89,1.64,0.43,0.64,0,1.98,0.51,0.99
158879,formosa,1.75,1.6,0.45,0.54,0,1.86,0.76,0.96
158806,formosa,1.49,1.73,0.21,0.3,0,1.88,0.66,1.13
157292,flavescens,2.54,1.74,0.56,0.75,0,2.75,1.07,0.83
142507,flavescens,2.45,1.35,0.81,0.66,0,1.98,0.75,0.65
138668,flavescens,1.83,1.93,0.55,0.67,0,1.78,0.52,0.89
144289,flavescens,2.19,1.87,0.38,0.7,0,2,0.67,0.86
144250,flavescens,1.89,1.84,0.41,0.43,0,2.44,0.84,1.23
137707,formosa,1.13,1.54,0.4,0.34,0,1.42,0.62,0.79
141679,flavescens,2.08,1.74,0.51,0.76,0,1.87,0.78,0.73
133942,flavescens,2.07,1.96,0.63,0.64,0,2.82,1.03,1.09
135155,formosa,0.82,1.18,0.22,0.25,0,1.61,0.56,1.24
